ID	VarFloat	VarCat1	VarInt1	VarInt2	VarCat2
0	2.22	A	233	56	01
1	20.52	C	191	46	01
2	12.54	C	299	60	10
3	24.03	C	260	58	01
4	20.10	C	209	50	01
5	6.96	A	283	80	01
6	4.08	D	191	66	01
7	6.37	B	267	78	01
8	18.85	B	239	70	01
9	2.89	B	277	72	10
10	17.00	B	270	75	10
11	23.68	D	199	59	01
12	6.73	B	242	62	01
13	11.08	B	239	66	01
14	23.15	B	167	64	10
15	6.52	C	158	60	10
16	18.79	D	205	60	01
17	21.95	C	217	55	10
18	2.87	B	218	52	01
19	3.40	D	283	51	01
20	6.58	C	242	70	01
21	3.38	C	204	67	10
22	19.82	A	190	46	10
23	22.07	D	150	55	10
24	2.31	A	281	64	10
25	8.31	B	163	49	01
26	9.90	C	161	72	01
27	0.65	C	235	56	01
28	21.74	A	206	45	10
29	15.04	A	259	73	10
30	24.67	A	256	60	01
31	1.77	D	176	52	01
32	6.06	A	238	61	01
33	6.55	B	196	68	10
34	1.94	A	160	70	01
35	10.76	A	264	57	01
36	0.75	A	200	57	10
37	24.83	C	163	73	10
38	24.15	C	162	61	01
39	14.76	A	196	67	01
40	11.45	B	188	74	10
41	21.60	B	228	72	01
42	0.24	D	155	62	01
43	1.82	B	237	67	01
44	23.48	C	213	80	10
45	8.59	B	209	50	10
46	11.57	D	197	72	10
47	8.73	C	179	79	10
48	16.18	C	206	54	01
49	9.23	D	195	68	01
50	17.34	D	283	47	01
51	7.36	D	262	47	01
52	23.46	C	247	53	10
53	23.08	B	261	58	01
54	19.57	A	228	79	10
55	1.36	B	258	66	01
56	15.08	C	281	57	01
57	11.98	B	164	69	10
58	12.76	C	275	50	10
59	9.51	D	201	65	10
60	18.33	D	155	48	10
61	2.89	B	207	54	10
62	20.52	B	168	45	01
63	7.24	B	214	51	01
64	18.53	D	273	62	10
65	16.55	C	210	79	10
66	10.44	C	247	79	01
67	10.14	B	260	67	01
68	20.50	A	260	57	10
69	3.67	B	274	69	01
70	16.91	B	281	53	01
71	9.18	C	151	69	10
72	22.15	A	297	65	10
73	3.19	A	166	65	01
74	2.10	D	279	55	01
75	24.73	A	172	78	10
76	13.32	A	244	63	10
77	15.04	D	250	49	01
78	3.04	B	211	47	01
79	14.29	D	238	63	01
80	18.20	C	258	48	10
81	14.69	B	265	75	10
82	19.45	C	294	71	01
83	22.42	A	152	55	01
84	9.79	A	152	65	10
85	7.47	A	269	73	10
86	2.98	C	169	46	01
87	0.83	D	269	61	01
88	24.83	A	155	61	01
89	6.37	D	174	66	10
90	12.83	B	189	74	10
91	10.93	C	192	54	01
92	12.92	B	213	80	10
93	18.25	A	234	61	01
94	20.30	A	280	57	01
95	18.35	C	158	77	10
96	16.90	B	231	61	01
97	17.91	B	202	45	01
98	10.82	D	217	58	01
99	16.15	C	298	67	01
